INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('549469', '149', 'Item 1', 'Descricao do item 1', 71.68, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('856996', '580', 'Item 2', 'Descricao do item 2', 46.91, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '905', 'Item 3', 'Descricao do item 3', 10.31, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '143', 'Item 4', 'Descricao do item 4', 26.92, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '111', 'Item 5', 'Descricao do item 5', 26.15, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('516536', '199', 'Item 6', 'Descricao do item 6', 36.84, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('161763', '240', 'Item 7', 'Descricao do item 7', 36.12, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '317', 'Item 8', 'Descricao do item 8', 71.7, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '295', 'Item 9', 'Descricao do item 9', 50.71, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '578', 'Item 10', 'Descricao do item 10', 56.4, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('882689', '790', 'Item 11', 'Descricao do item 11', 84.51, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('161763', '572', 'Item 12', 'Descricao do item 12', 41.93, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('882689', '746', 'Item 13', 'Descricao do item 13', 22.48, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '386', 'Item 14', 'Descricao do item 14', 29.08, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '459', 'Item 15', 'Descricao do item 15', 67.36, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('897122', '771', 'Item 16', 'Descricao do item 16', 72.64, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '425', 'Item 17', 'Descricao do item 17', 43.95, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '521', 'Item 18', 'Descricao do item 18', 37.28, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '157', 'Item 19', 'Descricao do item 19', 85.66, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '179', 'Item 20', 'Descricao do item 20', 95.69, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('516536', '817', 'Item 21', 'Descricao do item 21', 16.02, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('549469', '549', 'Item 22', 'Descricao do item 22', 50.58, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('856996', '498', 'Item 23', 'Descricao do item 23', 27.22, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('549469', '567', 'Item 24', 'Descricao do item 24', 70.5, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('897122', '487', 'Item 25', 'Descricao do item 25', 60.58, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('882689', '163', 'Item 26', 'Descricao do item 26', 90.18, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('897122', '296', 'Item 27', 'Descricao do item 27', 16.07, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('856996', '207', 'Item 28', 'Descricao do item 28', 89.51, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('161763', '985', 'Item 29', 'Descricao do item 29', 41.95, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '956', 'Item 30', 'Descricao do item 30', 21.0, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('856996', '683', 'Item 31', 'Descricao do item 31', 82.56, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('897122', '784', 'Item 32', 'Descricao do item 32', 95.32, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('856996', '533', 'Item 33', 'Descricao do item 33', 44.11, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('897122', '254', 'Item 34', 'Descricao do item 34', 35.08, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('549469', '583', 'Item 35', 'Descricao do item 35', 94.28, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '446', 'Item 36', 'Descricao do item 36', 16.99, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '177', 'Item 37', 'Descricao do item 37', 46.04, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '483', 'Item 38', 'Descricao do item 38', 18.45, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365193', '814', 'Item 39', 'Descricao do item 39', 69.09, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('516536', '670', 'Item 40', 'Descricao do item 40', 74.77, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('216182', '504', 'Item 41', 'Descricao do item 41', 32.65, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('400851', '340', 'Item 42', 'Descricao do item 42', 90.55, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('202305', '976', 'Item 43', 'Descricao do item 43', 40.7, False);
