INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '513', 'Item 1', 'Descricao do item 1', 85.04, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '882', 'Item 2', 'Descricao do item 2', 34.79, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '676', 'Item 3', 'Descricao do item 3', 20.07, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '526', 'Item 4', 'Descricao do item 4', 98.07, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '134', 'Item 5', 'Descricao do item 5', 66.97, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '328', 'Item 6', 'Descricao do item 6', 52.25, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '687', 'Item 7', 'Descricao do item 7', 73.92, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '247', 'Item 8', 'Descricao do item 8', 31.42, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '218', 'Item 9', 'Descricao do item 9', 29.48, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '695', 'Item 10', 'Descricao do item 10', 99.69, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '696', 'Item 11', 'Descricao do item 11', 37.71, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '400', 'Item 12', 'Descricao do item 12', 41.93, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '387', 'Item 13', 'Descricao do item 13', 24.63, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '178', 'Item 14', 'Descricao do item 14', 93.77, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '123', 'Item 15', 'Descricao do item 15', 14.88, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '645', 'Item 16', 'Descricao do item 16', 74.17, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '760', 'Item 17', 'Descricao do item 17', 88.63, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '433', 'Item 18', 'Descricao do item 18', 86.62, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '711', 'Item 19', 'Descricao do item 19', 62.28, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('610876', '139', 'Item 20', 'Descricao do item 20', 45.44, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '440', 'Item 21', 'Descricao do item 21', 83.47, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '494', 'Item 22', 'Descricao do item 22', 93.95, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('610876', '813', 'Item 23', 'Descricao do item 23', 79.49, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '781', 'Item 24', 'Descricao do item 24', 58.98, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '468', 'Item 25', 'Descricao do item 25', 92.61, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '950', 'Item 26', 'Descricao do item 26', 82.4, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '864', 'Item 27', 'Descricao do item 27', 83.24, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '621', 'Item 28', 'Descricao do item 28', 67.9, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '627', 'Item 29', 'Descricao do item 29', 28.54, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '758', 'Item 30', 'Descricao do item 30', 63.86, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '802', 'Item 31', 'Descricao do item 31', 20.68, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '421', 'Item 32', 'Descricao do item 32', 85.04, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '353', 'Item 33', 'Descricao do item 33', 68.9, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '753', 'Item 34', 'Descricao do item 34', 94.16, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '852', 'Item 35', 'Descricao do item 35', 86.02, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '544', 'Item 36', 'Descricao do item 36', 82.95, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '569', 'Item 37', 'Descricao do item 37', 15.98, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '591', 'Item 38', 'Descricao do item 38', 53.15, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '768', 'Item 39', 'Descricao do item 39', 10.69, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '346', 'Item 40', 'Descricao do item 40', 19.31, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '965', 'Item 41', 'Descricao do item 41', 62.79, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '438', 'Item 42', 'Descricao do item 42', 59.36, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '975', 'Item 43', 'Descricao do item 43', 11.83, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '591', 'Item 44', 'Descricao do item 44', 37.86, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '706', 'Item 45', 'Descricao do item 45', 26.93, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '781', 'Item 46', 'Descricao do item 46', 12.61, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '617', 'Item 47', 'Descricao do item 47', 85.27, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '628', 'Item 48', 'Descricao do item 48', 58.78, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '371', 'Item 49', 'Descricao do item 49', 73.85, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '469', 'Item 50', 'Descricao do item 50', 84.38, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '530', 'Item 51', 'Descricao do item 51', 29.13, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '680', 'Item 52', 'Descricao do item 52', 83.21, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '138', 'Item 53', 'Descricao do item 53', 61.01, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '129', 'Item 54', 'Descricao do item 54', 28.62, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '452', 'Item 55', 'Descricao do item 55', 32.38, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '732', 'Item 56', 'Descricao do item 56', 85.91, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '186', 'Item 57', 'Descricao do item 57', 80.71, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '851', 'Item 58', 'Descricao do item 58', 76.44, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '130', 'Item 59', 'Descricao do item 59', 56.9, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '890', 'Item 60', 'Descricao do item 60', 99.49, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '160', 'Item 61', 'Descricao do item 61', 85.68, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '744', 'Item 62', 'Descricao do item 62', 94.09, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '765', 'Item 63', 'Descricao do item 63', 23.46, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '960', 'Item 64', 'Descricao do item 64', 98.21, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '418', 'Item 65', 'Descricao do item 65', 78.59, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '192', 'Item 66', 'Descricao do item 66', 52.64, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '744', 'Item 67', 'Descricao do item 67', 36.77, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '725', 'Item 68', 'Descricao do item 68', 56.56, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '712', 'Item 69', 'Descricao do item 69', 52.12, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '242', 'Item 70', 'Descricao do item 70', 77.82, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '372', 'Item 71', 'Descricao do item 71', 98.53, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '240', 'Item 72', 'Descricao do item 72', 89.81, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '353', 'Item 73', 'Descricao do item 73', 60.96, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '282', 'Item 74', 'Descricao do item 74', 85.17, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('610876', '867', 'Item 75', 'Descricao do item 75', 76.33, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '232', 'Item 76', 'Descricao do item 76', 53.34, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '411', 'Item 77', 'Descricao do item 77', 45.29, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '450', 'Item 78', 'Descricao do item 78', 35.05, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '364', 'Item 79', 'Descricao do item 79', 68.48, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('281595', '234', 'Item 80', 'Descricao do item 80', 69.49, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '430', 'Item 81', 'Descricao do item 81', 64.43, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '147', 'Item 82', 'Descricao do item 82', 30.01, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '241', 'Item 83', 'Descricao do item 83', 88.68, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '843', 'Item 84', 'Descricao do item 84', 39.1, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('610876', '340', 'Item 85', 'Descricao do item 85', 45.63, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('916251', '505', 'Item 86', 'Descricao do item 86', 98.57, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '479', 'Item 87', 'Descricao do item 87', 24.41, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '239', 'Item 88', 'Descricao do item 88', 30.15, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '793', 'Item 89', 'Descricao do item 89', 17.62, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '388', 'Item 90', 'Descricao do item 90', 31.02, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '729', 'Item 91', 'Descricao do item 91', 41.99, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('465096', '268', 'Item 92', 'Descricao do item 92', 27.92, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('625762', '606', 'Item 93', 'Descricao do item 93', 73.24, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '981', 'Item 94', 'Descricao do item 94', 50.92, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '716', 'Item 95', 'Descricao do item 95', 92.66, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '621', 'Item 96', 'Descricao do item 96', 55.34, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '679', 'Item 97', 'Descricao do item 97', 61.29, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('450666', '477', 'Item 98', 'Descricao do item 98', 13.43, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '850', 'Item 99', 'Descricao do item 99', 42.72, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '871', 'Item 100', 'Descricao do item 100', 26.53, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '316', 'Item 101', 'Descricao do item 101', 57.31, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('872427', '716', 'Item 102', 'Descricao do item 102', 87.46, False);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('543884', '851', 'Item 103', 'Descricao do item 103', 60.08, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('365697', '214', 'Item 104', 'Descricao do item 104', 65.91, True);
INSERT INTO cardapio (restaurante_id, item_id, nome, descricao, preco, disponibilidade) VALUES ('772186', '454', 'Item 105', 'Descricao do item 105', 32.41, True);
